date,commodity,indicator,indicator_name,location,contract_month,column_name,value,value_raw,unit,measure,currency,unit_std,price_basis,contract,state,market_type
2024-09-24,cacau,cacau-cnpc,Cacau,Preço Médio,,preco_medio_arroba,794.0,"794,00",R$,price,BRL,,spot,,,physical
2024-09-24,cacau,cacau-cnpc,Cacau,Preço Médio,,variacao_pct,0.0,"0,00",%,change_pct,,pct,spot,,,physical
2024-09-25,cacau,cacau-cnpc,Cacau,Preço Médio,,preco_medio_arroba,795.0,"795,00",R$,price,BRL,,spot,,,physical
2024-09-25,cacau,cacau-cnpc,Cacau,Preço Médio,,variacao_pct,0.13,"+0,13",%,change_pct,,pct,spot,,,physical
2024-09-26,cacau,cacau-cnpc,Cacau,Preço Médio,,preco_medio_arroba,813.4,"813,40",R$,price,BRL,,spot,,,physical
2024-09-26,cacau,cacau-cnpc,Cacau,Preço Médio,,variacao_pct,2.31,"+2,31",%,change_pct,,pct,spot,,,physical
2024-09-27,cacau,cacau-cnpc,Cacau,Preço Médio,,preco_medio_arroba,770.0,"770,00",R$,price,BRL,,spot,,,physical
2024-09-27,cacau,cacau-cnpc,Cacau,Preço Médio,,variacao_pct,-5.34,"-5,34",%,change_pct,,pct,spot,,,physical
2024-09-30,cacau,cacau-cnpc,Cacau,Preço Médio,,preco_medio_arroba,750.0,"750,00",R$,price,BRL,,spot,,,physical
2024-09-30,cacau,cacau-cnpc,Cacau,Preço Médio,,variacao_pct,-2.6,"-2,60",%,change_pct,,pct,spot,,,physical
2024-10-01,cacau,cacau-cnpc,Cacau,Preço Médio,,preco_medio_arroba,716.7,"716,70",R$,price,BRL,,spot,,,physical
2024-10-01,cacau,cacau-cnpc,Cacau,Preço Médio,,variacao_pct,-4.44,"-4,44",%,change_pct,,pct,spot,,,physical
2024-10-02,cacau,cacau-cnpc,Cacau,Preço Médio,,preco_medio_arroba,633.4,"633,40",R$,price,BRL,,spot,,,physical
2024-10-02,cacau,cacau-cnpc,Cacau,Preço Médio,,variacao_pct,-11.62,"-11,62",%,change_pct,,pct,spot,,,physical
2024-10-03,cacau,cacau-cnpc,Cacau,Preço Médio,,preco_medio_arroba,613.4,"613,40",R$,price,BRL,,spot,,,physical
2024-10-03,cacau,cacau-cnpc,Cacau,Preço Médio,,variacao_pct,-3.16,"-3,16",%,change_pct,,pct,spot,,,physical
2024-12-18,cacau,cacau-cnpc,Cacau,Preço Médio,,preco_medio_arroba,979.0,"979,00",R$,price,BRL,,spot,,,physical
2024-12-18,cacau,cacau-cnpc,Cacau,Preço Médio,,variacao_pct,,-,%,change_pct,,pct,spot,,,physical
2024-12-20,cacau,cacau-cnpc,Cacau,Preço Médio,,preco_medio_arroba,860.0,"860,00",R$,price,BRL,,spot,,,physical
2024-12-20,cacau,cacau-cnpc,Cacau,Preço Médio,,variacao_pct,-12.16,"-12,16",%,change_pct,,pct,spot,,,physical
2026-01-26,cacau,cacau-bolsa-de-nova-iorque-nybot,Cacau - Bolsa de Nova Iorque (NYBOT),,Julho/26,preco,4467.0,4467,US$ / ton,price,USD,,futures,2026-07,,nybot
2026-01-26,cacau,cacau-bolsa-de-nova-iorque-nybot,Cacau - Bolsa de Nova Iorque (NYBOT),,Julho/26,variacao_pontos,144.0,+144,%,change_abs,,pct,futures,2026-07,,nybot
2026-01-26,cacau,cacau-bolsa-de-nova-iorque-nybot,Cacau - Bolsa de Nova Iorque (NYBOT),,Maio/26,preco,4406.0,4406,US$ / ton,price,USD,,futures,2026-05,,nybot
2026-01-26,cacau,cacau-bolsa-de-nova-iorque-nybot,Cacau - Bolsa de Nova Iorque (NYBOT),,Maio/26,variacao_pontos,146.0,+146,%,change_abs,,pct,futures,2026-05,,nybot
2026-01-26,cacau,cacau-bolsa-de-nova-iorque-nybot,Cacau - Bolsa de Nova Iorque (NYBOT),,Março/26,preco,4348.0,4348,US$ / ton,price,USD,,futures,2026-03,,nybot
2026-01-26,cacau,cacau-bolsa-de-nova-iorque-nybot,Cacau - Bolsa de Nova Iorque (NYBOT),,Março/26,variacao_pontos,147.0,+147,%,change_abs,,pct,futures,2026-03,,nybot
2026-01-27,cacau,cacau-bolsa-de-nova-iorque-nybot,Cacau - Bolsa de Nova Iorque (NYBOT),,Julho/26,preco,4549.0,4549,US$ / ton,price,USD,,futures,2026-07,,nybot
2026-01-27,cacau,cacau-bolsa-de-nova-iorque-nybot,Cacau - Bolsa de Nova Iorque (NYBOT),,Julho/26,variacao_pontos,82.0,+82,%,change_abs,,pct,futures,2026-07,,nybot
2026-01-27,cacau,cacau-bolsa-de-nova-iorque-nybot,Cacau - Bolsa de Nova Iorque (NYBOT),,Maio/26,preco,4491.0,4491,US$ / ton,price,USD,,futures,2026-05,,nybot
2026-01-27,cacau,cacau-bolsa-de-nova-iorque-nybot,Cacau - Bolsa de Nova Iorque (NYBOT),,Maio/26,variacao_pontos,85.0,+85,%,change_abs,,pct,futures,2026-05,,nybot
2026-01-27,cacau,cacau-bolsa-de-nova-iorque-nybot,Cacau - Bolsa de Nova Iorque (NYBOT),,Março/26,preco,4433.0,4433,US$ / ton,price,USD,,futures,2026-03,,nybot
2026-01-27,cacau,cacau-bolsa-de-nova-iorque-nybot,Cacau - Bolsa de Nova Iorque (NYBOT),,Março/26,variacao_pontos,85.0,+85,%,change_abs,,pct,futures,2026-03,,nybot
2026-01-27,cacau,cacau-mercado-do-cacau,Cacau (Mercado do Cacau),Bahia /@,,preco,240.0,"240,00",R$,price,BRL,,spot,,BA,physical
2026-01-27,cacau,cacau-mercado-do-cacau,Cacau (Mercado do Cacau),Bahia /@,,variacao_pct,0.0,"0,00",%,change_pct,,pct,spot,,BA,physical
2026-01-27,cacau,cacau-mercado-do-cacau,Cacau (Mercado do Cacau),Espírito Santo / saca,,preco,960.0,"960,00",R$,price,BRL,,spot,,ES,physical
2026-01-27,cacau,cacau-mercado-do-cacau,Cacau (Mercado do Cacau),Espírito Santo / saca,,variacao_pct,0.0,"0,00",%,change_pct,,pct,spot,,ES,physical
2026-01-27,cacau,cacau-mercado-do-cacau,Cacau (Mercado do Cacau),Pará / Kg,,preco,16.0,"16,00",R$,price,BRL,,spot,,PA,physical
2026-01-27,cacau,cacau-mercado-do-cacau,Cacau (Mercado do Cacau),Pará / Kg,,variacao_pct,0.0,"0,00",%,change_pct,,pct,spot,,PA,physical
2026-01-28,cacau,cacau-bolsa-de-nova-iorque-nybot,Cacau - Bolsa de Nova Iorque (NYBOT),,Julho/26,preco,4272.0,4272,US$ / ton,price,USD,,futures,2026-07,,nybot
2026-01-28,cacau,cacau-bolsa-de-nova-iorque-nybot,Cacau - Bolsa de Nova Iorque (NYBOT),,Julho/26,variacao_pontos,-277.0,-277,%,change_abs,,pct,futures,2026-07,,nybot
2026-01-28,cacau,cacau-bolsa-de-nova-iorque-nybot,Cacau - Bolsa de Nova Iorque (NYBOT),,Maio/26,preco,4210.0,4210,US$ / ton,price,USD,,futures,2026-05,,nybot
2026-01-28,cacau,cacau-bolsa-de-nova-iorque-nybot,Cacau - Bolsa de Nova Iorque (NYBOT),,Maio/26,variacao_pontos,-281.0,-281,%,change_abs,,pct,futures,2026-05,,nybot
2026-01-28,cacau,cacau-bolsa-de-nova-iorque-nybot,Cacau - Bolsa de Nova Iorque (NYBOT),,Março/26,preco,4150.0,4150,US$ / ton,price,USD,,futures,2026-03,,nybot
2026-01-28,cacau,cacau-bolsa-de-nova-iorque-nybot,Cacau - Bolsa de Nova Iorque (NYBOT),,Março/26,variacao_pontos,-283.0,-283,%,change_abs,,pct,futures,2026-03,,nybot
2026-01-28,cacau,cacau-mercado-do-cacau,Cacau (Mercado do Cacau),Bahia /@,,preco,240.0,"240,00",R$,price,BRL,,spot,,BA,physical
2026-01-28,cacau,cacau-mercado-do-cacau,Cacau (Mercado do Cacau),Bahia /@,,variacao_pct,0.0,"0,00",%,change_pct,,pct,spot,,BA,physical
2026-01-28,cacau,cacau-mercado-do-cacau,Cacau (Mercado do Cacau),Espírito Santo / saca,,preco,960.0,"960,00",R$,price,BRL,,spot,,ES,physical
2026-01-28,cacau,cacau-mercado-do-cacau,Cacau (Mercado do Cacau),Espírito Santo / saca,,variacao_pct,0.0,"0,00",%,change_pct,,pct,spot,,ES,physical
2026-01-28,cacau,cacau-mercado-do-cacau,Cacau (Mercado do Cacau),Pará / Kg,,preco,16.0,"16,00",R$,price,BRL,,spot,,PA,physical
2026-01-28,cacau,cacau-mercado-do-cacau,Cacau (Mercado do Cacau),Pará / Kg,,variacao_pct,0.0,"0,00",%,change_pct,,pct,spot,,PA,physical
