date,commodity,indicator,indicator_name,location,contract_month,column_name,value,value_raw,unit,measure,currency,unit_std,price_basis,contract,state,market_type
2025-07-21,mandioca,mandioca-fecula-no-atacado,Mandioca - Fécula no Atacado,Semana Referente de:,,valor_25kg,,14/07/25 a 18/07/25,R$,price,BRL,,spot,,,physical
2025-07-21,mandioca,mandioca-fecula-no-atacado,Mandioca - Fécula no Atacado,Semana Referente de:,,variacao,,,%,change_pct,,pct,spot,,,physical
2025-07-21,mandioca,mandioca-fecula-no-atacado,Mandioca - Fécula no Atacado,TO,,valor_25kg,139.99,"139,99",R$,price,BRL,,spot,,,physical
2025-07-21,mandioca,mandioca-fecula-no-atacado,Mandioca - Fécula no Atacado,TO,,variacao,0.06,"+0,06",%,change_pct,,pct,spot,,,physical
2025-07-28,mandioca,mandioca-fecula-no-atacado,Mandioca - Fécula no Atacado,Semana Referente de:,,valor_25kg,,21/07/25 a 25/07/25,R$,price,BRL,,spot,,,physical
2025-07-28,mandioca,mandioca-fecula-no-atacado,Mandioca - Fécula no Atacado,Semana Referente de:,,variacao,,,%,change_pct,,pct,spot,,,physical
2025-07-28,mandioca,mandioca-fecula-no-atacado,Mandioca - Fécula no Atacado,TO,,valor_25kg,139.99,"139,99",R$,price,BRL,,spot,,,physical
2025-07-28,mandioca,mandioca-fecula-no-atacado,Mandioca - Fécula no Atacado,TO,,variacao,0.0,"0,00",%,change_pct,,pct,spot,,,physical
2025-08-04,mandioca,mandioca-fecula-no-atacado,Mandioca - Fécula no Atacado,Semana Referente de:,,valor_25kg,,28/07/25 a 01/08/25,R$,price,BRL,,spot,,,physical
2025-08-04,mandioca,mandioca-fecula-no-atacado,Mandioca - Fécula no Atacado,Semana Referente de:,,variacao,,,%,change_pct,,pct,spot,,,physical
2025-08-04,mandioca,mandioca-fecula-no-atacado,Mandioca - Fécula no Atacado,TO,,valor_25kg,139.99,"139,99",R$,price,BRL,,spot,,,physical
2025-08-04,mandioca,mandioca-fecula-no-atacado,Mandioca - Fécula no Atacado,TO,,variacao,0.0,"0,00",%,change_pct,,pct,spot,,,physical
2025-08-11,mandioca,mandioca-fecula-no-atacado,Mandioca - Fécula no Atacado,Semana Referente de:,,valor_25kg,,04/08/25 a 08/08/25,R$,price,BRL,,spot,,,physical
2025-08-11,mandioca,mandioca-fecula-no-atacado,Mandioca - Fécula no Atacado,Semana Referente de:,,variacao,,,%,change_pct,,pct,spot,,,physical
2025-08-11,mandioca,mandioca-fecula-no-atacado,Mandioca - Fécula no Atacado,TO,,valor_25kg,135.45,"135,45",R$,price,BRL,,spot,,,physical
2025-08-11,mandioca,mandioca-fecula-no-atacado,Mandioca - Fécula no Atacado,TO,,variacao,-3.24,"-3,24",%,change_pct,,pct,spot,,,physical
2025-08-18,mandioca,mandioca-fecula-no-atacado,Mandioca - Fécula no Atacado,Semana Referente de:,,valor_25kg,,11/08/25 a 15/08/25,R$,price,BRL,,spot,,,physical
2025-08-18,mandioca,mandioca-fecula-no-atacado,Mandioca - Fécula no Atacado,Semana Referente de:,,variacao,,,%,change_pct,,pct,spot,,,physical
2025-08-18,mandioca,mandioca-fecula-no-atacado,Mandioca - Fécula no Atacado,TO,,valor_25kg,135.45,"135,45",R$,price,BRL,,spot,,,physical
2025-08-18,mandioca,mandioca-fecula-no-atacado,Mandioca - Fécula no Atacado,TO,,variacao,0.0,"0,00",%,change_pct,,pct,spot,,,physical
2025-08-25,mandioca,mandioca-fecula-no-atacado,Mandioca - Fécula no Atacado,Semana Referente de:,,valor_25kg,,18/08/25 a 22/08/25,R$,price,BRL,,spot,,,physical
2025-08-25,mandioca,mandioca-fecula-no-atacado,Mandioca - Fécula no Atacado,Semana Referente de:,,variacao,,,%,change_pct,,pct,spot,,,physical
2025-08-25,mandioca,mandioca-fecula-no-atacado,Mandioca - Fécula no Atacado,TO,,valor_25kg,139.95,"139,95",R$,price,BRL,,spot,,,physical
2025-08-25,mandioca,mandioca-fecula-no-atacado,Mandioca - Fécula no Atacado,TO,,variacao,3.32,"+3,32",%,change_pct,,pct,spot,,,physical
2025-09-01,mandioca,mandioca-fecula-no-atacado,Mandioca - Fécula no Atacado,Semana Referente de:,,valor_25kg,,25/08/25 a 29/08/25,R$,price,BRL,,spot,,,physical
2025-09-01,mandioca,mandioca-fecula-no-atacado,Mandioca - Fécula no Atacado,Semana Referente de:,,variacao,,,%,change_pct,,pct,spot,,,physical
2025-09-01,mandioca,mandioca-fecula-no-atacado,Mandioca - Fécula no Atacado,TO,,valor_25kg,134.9,"134,90",R$,price,BRL,,spot,,,physical
