date,commodity,indicator,indicator_name,location,contract_month,column_name,value,value_raw,unit,measure,currency,unit_std,price_basis,contract,state,market_type
2020-01-02,boi-gordo,boi-gordo-b3-prego-regular,Boi Gordo - B3 (Pregão Regular),,Fevereiro/20,fechamento,196.0,"196,000",R$/@,price,BRL,arroba,futures,2020-02,,b3
2020-01-02,boi-gordo,boi-gordo-b3-prego-regular,Boi Gordo - B3 (Pregão Regular),,Fevereiro/20,variacao_pct,0.77,"+0,77",%,change_pct,,pct,futures,2020-02,,b3
2020-01-02,boi-gordo,boi-gordo-b3-prego-regular,Boi Gordo - B3 (Pregão Regular),,Janeiro/20,fechamento,198.9,"198,900",R$/@,price,BRL,arroba,futures,2020-01,,b3
2020-01-02,boi-gordo,boi-gordo-b3-prego-regular,Boi Gordo - B3 (Pregão Regular),,Janeiro/20,variacao_pct,0.45,"+0,45",%,change_pct,,pct,futures,2020-01,,b3
2020-01-02,boi-gordo,boi-gordo-b3-prego-regular,Boi Gordo - B3 (Pregão Regular),,Maio/20,fechamento,190.2,"190,200",R$/@,price,BRL,arroba,futures,2020-05,,b3
2020-01-02,boi-gordo,boi-gordo-b3-prego-regular,Boi Gordo - B3 (Pregão Regular),,Maio/20,variacao_pct,-0.42,"-0,42",%,change_pct,,pct,futures,2020-05,,b3
2020-01-02,boi-gordo,boi-gordo-b3-prego-regular,Boi Gordo - B3 (Pregão Regular),,Março/20,fechamento,193.45,"193,450",R$/@,price,BRL,arroba,futures,2020-03,,b3
2020-01-02,boi-gordo,boi-gordo-b3-prego-regular,Boi Gordo - B3 (Pregão Regular),,Março/20,variacao_pct,1.02,"+1,02",%,change_pct,,pct,futures,2020-03,,b3
2020-01-02,boi-gordo,boi-gordo-b3-prego-regular,Boi Gordo - B3 (Pregão Regular),,Outubro/20,fechamento,204.8,"204,800",R$/@,price,BRL,arroba,futures,2020-10,,b3
2020-01-02,boi-gordo,boi-gordo-b3-prego-regular,Boi Gordo - B3 (Pregão Regular),,Outubro/20,variacao_pct,0.17,"+0,17",%,change_pct,,pct,futures,2020-10,,b3
2020-01-02,boi-gordo,boi-gordo-indicador-esalq-bmf,Indicador do Boi Gordo Esalq/B3,,,a_vista_r_vista,192.95,"192,95",R$,price,BRL,,spot,,,indicator
2020-01-02,boi-gordo,boi-gordo-indicador-esalq-bmf,Indicador do Boi Gordo Esalq/B3,,,variacao_pct,-6.76,"-6,76",%,change_pct,,pct,spot,,,indicator
2020-01-02,boi-gordo,boi-gordo-media-sp-a-prazo,Boi Gordo - Média SP a prazo,,,a_prazo_r_prazo,193.72,"193,72",R$,price,BRL,,spot,,,other
2020-01-02,boi-gordo,boi-gordo-media-sp-a-prazo,Boi Gordo - Média SP a prazo,,,variacao_pct,-6.96,"-6,96",%,change_pct,,pct,spot,,,other
2020-01-02,boi-gordo,indicador-bezerro-esalq-bmf-bovespa-ms,Bezerro Esalq/BM&F Bovespa - MS,,,valor,1467.51,"1.467,51",R$,price,BRL,,spot,,,indicator
2020-01-02,boi-gordo,indicador-bezerro-esalq-bmf-bovespa-ms,Bezerro Esalq/BM&F Bovespa - MS,,,variacao_pct,-3.0,"-3,00",%,change_pct,,pct,spot,,,indicator
2020-01-03,boi-gordo,boi-gordo-b3-prego-regular,Boi Gordo - B3 (Pregão Regular),,Fevereiro/20,fechamento,196.0,"196,000",R$/@,price,BRL,arroba,futures,2020-02,,b3
