date,location,state,physical_indicator,physical_price_brl,futures_indicator,futures_contract,futures_price_raw,futures_price_brl,ptax,basis_brl,basis_usd,basis_pct
2020-01-02,Indicador ESALQ/SP,SP,boi-gordo-indicador-esalq-bmf,192.95,boi-gordo-b3-prego-regular,2020-01,198.9,198.9,,-5.950000000000017,,-2.991452991453
2020-01-03,Indicador ESALQ/SP,SP,boi-gordo-indicador-esalq-bmf,196.7,boi-gordo-b3-prego-regular,2020-01,196.9,196.9,,-0.20000000000001705,,-0.10157440325038956
2020-01-06,Indicador ESALQ/SP,SP,boi-gordo-indicador-esalq-bmf,196.4,boi-gordo-b3-prego-regular,2020-01,198.95,198.95,,-2.549999999999983,,-1.2817290776576944
2020-01-07,Indicador ESALQ/SP,SP,boi-gordo-indicador-esalq-bmf,196.6,boi-gordo-b3-prego-regular,2020-01,196.5,196.5,,0.09999999999999432,,0.05089058524172738
2020-01-08,Indicador ESALQ/SP,SP,boi-gordo-indicador-esalq-bmf,196.7,boi-gordo-b3-prego-regular,2020-01,195.3,195.3,,1.3999999999999773,,0.716845878136189
2020-01-09,Indicador ESALQ/SP,SP,boi-gordo-indicador-esalq-bmf,198.45,boi-gordo-b3-prego-regular,2020-01,193.0,193.0,,5.449999999999989,,2.8238341968911858
2020-01-10,Indicador ESALQ/SP,SP,boi-gordo-indicador-esalq-bmf,196.25,boi-gordo-b3-prego-regular,2020-01,192.5,192.5,,3.75,,1.948051948051948
2020-01-13,Indicador ESALQ/SP,SP,boi-gordo-indicador-esalq-bmf,196.3,boi-gordo-b3-prego-regular,2020-01,193.1,193.1,,3.200000000000017,,1.6571724495080358
2020-01-14,Indicador ESALQ/SP,SP,boi-gordo-indicador-esalq-bmf,193.95,boi-gordo-b3-prego-regular,2020-01,192.0,192.0,,1.9499999999999886,,1.0156249999999942
2020-01-15,Indicador ESALQ/SP,SP,boi-gordo-indicador-esalq-bmf,194.25,boi-gordo-b3-prego-regular,2020-01,189.5,189.5,,4.75,,2.5065963060686016
2020-01-16,Indicador ESALQ/SP,SP,boi-gordo-indicador-esalq-bmf,192.15,boi-gordo-b3-prego-regular,2020-01,187.5,187.5,,4.650000000000006,,2.480000000000003
