date,commodity,indicator,indicator_name,location,contract_month,column_name,value,value_raw,unit,measure,currency,unit_std,price_basis,contract,state,market_type
2025-10-06,sorgo,sorgo-mercado-fisico-ms,Sorgo - Mercado Físico MS,Campo Grande,,preco,40.0,"40,00",R$/sc,price,BRL,sc60kg,spot,,,physical
2025-10-06,sorgo,sorgo-mercado-fisico-ms,Sorgo - Mercado Físico MS,Campo Grande,,variacao_pct,0.0,"0,00",%,change_pct,,pct,spot,,,physical
2025-10-06,sorgo,sorgo-mercado-fisico-ms,Sorgo - Mercado Físico MS,Chapadão do Sul,,preco,40.0,"40,00",R$/sc,price,BRL,sc60kg,spot,,,physical
2025-10-06,sorgo,sorgo-mercado-fisico-ms,Sorgo - Mercado Físico MS,Chapadão do Sul,,variacao_pct,0.0,"0,00",%,change_pct,,pct,spot,,,physical
2025-10-06,sorgo,sorgo-mercado-fisico-ms,Sorgo - Mercado Físico MS,Dourados,,preco,42.4,"42,40",R$/sc,price,BRL,sc60kg,spot,,,physical
2025-10-06,sorgo,sorgo-mercado-fisico-ms,Sorgo - Mercado Físico MS,Dourados,,variacao_pct,0.0,"0,00",%,change_pct,,pct,spot,,,physical
2025-10-06,sorgo,sorgo-mercado-fisico-ms,Sorgo - Mercado Físico MS,Maracaju,,preco,41.6,"41,60",R$/sc,price,BRL,sc60kg,spot,,,physical
2025-10-06,sorgo,sorgo-mercado-fisico-ms,Sorgo - Mercado Físico MS,Maracaju,,variacao_pct,0.0,"0,00",%,change_pct,,pct,spot,,,physical
2025-10-06,sorgo,sorgo-mercado-fisico-ms,Sorgo - Mercado Físico MS,Maringá,,preco,48.96,"48,96",R$/sc,price,BRL,sc60kg,spot,,,physical
2025-10-06,sorgo,sorgo-mercado-fisico-ms,Sorgo - Mercado Físico MS,Maringá,,variacao_pct,0.0,"0,00",%,change_pct,,pct,spot,,,physical
2025-10-06,sorgo,sorgo-mercado-fisico-ms,Sorgo - Mercado Físico MS,Paranaguá,,preco,53.6,"53,60",R$/sc,price,BRL,sc60kg,spot,,PR,physical
2025-10-06,sorgo,sorgo-mercado-fisico-ms,Sorgo - Mercado Físico MS,Paranaguá,,variacao_pct,0.0,"0,00",%,change_pct,,pct,spot,,PR,physical
2025-10-06,sorgo,sorgo-mercado-fisico-ms,Sorgo - Mercado Físico MS,Ponta Porã,,preco,42.4,"42,40",R$/sc,price,BRL,sc60kg,spot,,,physical
2025-10-06,sorgo,sorgo-mercado-fisico-ms,Sorgo - Mercado Físico MS,Ponta Porã,,variacao_pct,0.0,"0,00",%,change_pct,,pct,spot,,,physical
